"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DNAH14",7.26423592901024,2.80546543839223,0.169817165219782,16.5205056553695,2.61198998665291e-61,3.49936694193991e-60
"DNAH5",33.9338506405368,2.8359137840101,0.379300930387376,7.47668554652322,7.62205005074921e-14,2.41641371247606e-13
"DNAH6",13.7723364780078,2.10369857249539,0.36551724309503,5.75540172792464,8.64359934859343e-09,2.01049772478134e-08
"DNAH7",14.8815057891105,3.01219565929223,0.366959033426266,8.20853388229094,2.23905628426031e-16,8.23255073396862e-16
"DNAJB14",43.3322323088571,2.44710401639934,0.0812641166645637,30.1129713438014,3.27744708088951e-199,2.43455908162115e-197
"DNM3",12.6086584482598,2.24045991205443,0.135238095297984,16.5667810325027,1.2113942247304e-61,1.63168494991738e-60
"DOCK10",48.6632591669211,2.12747855626809,0.112336443863369,18.9384538365455,5.49883269744627e-80,1.00012102575977e-78
"DOCK11",61.7812428173145,2.06528029962889,0.0912268550663765,22.6389509769486,1.79258706048351e-113,5.07505072501039e-112
"DOCK4",98.4790753136187,2.69749727150471,0.117287928014329,22.9989336257621,4.7772307346343e-117,1.397316709029e-115
"DPYD",80.6794379433755,2.03024678184508,0.096145929779304,21.1163050428174,5.63325711599475e-99,1.34597170422773e-97
"DSEL",25.7879424274395,2.01567129276884,0.123806339703363,16.2808406871436,1.35001497384337e-59,1.7676243178464e-58
"DST",770.375933881854,2.60277164115794,0.0928914109080609,28.0195081086025,9.40124118564898e-173,5.5319852545358e-171
"DTHD1",7.89719263626115,2.20201646476884,0.365574859074169,6.02343517370293,1.70753519879368e-09,4.15866996557365e-09
"DYNC2H1",56.4236794946887,3.22952316656266,0.137805593643303,23.4353561505056,1.86449000052683e-121,5.78030422683989e-120
"EBLN2",2.79536342174234,3.87879410757149,0.282589613817034,13.7258905420454,7.10507268891489e-43,6.66322598107299e-42
"EDEM3",46.7403445492695,2.23124431329822,0.103938889878685,21.4668861280169,3.17598616047282e-102,7.8510168596202e-101
"EEA1",39.4641464702798,3.77080462102401,0.0921821503055589,40.9060171467557,0,0
"EFCAB13",6.80148801827359,2.48101703835687,0.15289423959447,16.2270144705086,3.24881426475808e-59,4.23163698287283e-58
"EGFL8",22.5808613111463,-2.22994544344588,0.217200895760527,-10.2667414682511,9.95091105338528e-25,5.46535213601926e-24
"EHF",30.6096569171719,3.00451472751991,0.336698105281944,8.92346787934548,4.51910851096475e-19,1.91065717686746e-18
"EID3",4.98383359523422,2.3735779417274,0.209821042276809,11.3123922937911,1.13939864039019e-29,7.4560299167269e-29
"EIF4EBP3",8.09093941228553,-2.18407321769023,0.286324251466932,-7.62797145718714,2.38476343345547e-14,7.79594233529396e-14
"EIF5AL1",0.740340045976493,-2.36977687818298,0.552935873722467,-4.28580779581039,1.82076360189591e-05,3.32488229846029e-05
"ELK4",68.2360388223861,2.04741922534202,0.0679268971647774,30.1415096346206,1.38588601451695e-199,1.03976098239134e-197
"EML5",3.74601243168196,2.83365274815298,0.207376091121877,13.6643174862796,1.65851493914443e-42,1.53617386801618e-41
"ENTPD2",1.19633200614013,-2.23296836968402,0.562606099966019,-3.96897290985449,7.2183086568319e-05,0.000125287127120605
"ENTPD7",10.0422395784294,2.2649816129794,0.125493825694224,18.0485502011726,8.09888393836647e-73,1.32523177203041e-71
"EPG5",64.2709006664079,2.01790558343695,0.082682727226472,24.4054066807667,1.49846550383522e-131,5.18075458180816e-130
"ERBB4",10.3667786552841,3.13828139282465,0.193938742366442,16.181817797369,6.77638718659127e-59,8.79582091131505e-58
"ERBIN",107.65807738322,2.28654137646669,0.0556940521774886,41.0553961701301,0,0
"ERCC6",24.7979455403694,2.44207809318974,0.081144184206068,30.0955406365047,5.54214165013028e-199,4.09654361872931e-197
"ERCC6L2",29.3708713174341,2.98234995995566,0.0863359151297319,34.5435611063398,1.78078361987179e-261,2.1376526572941e-259
"ERV3-1",17.1177087410218,2.5229153461193,0.127127969132151,19.845478247959,1.20575863792088e-87,2.45487223365031e-86
"ESCO1",24.1331986382291,2.0436010556856,0.0765511115176323,26.6959031054029,5.25163021718084e-157,2.5501848352362e-155
"ESR2",3.60243739467362,2.12142480955927,0.303263828545505,6.99531104561305,2.64671071971892e-12,7.68755213886611e-12
"EVI5",42.8238450482408,2.13676344769153,0.073585933451768,29.037661784804,2.20289793114977e-185,1.46258776357975e-183
"EXPH5",44.9569107206981,3.29477319891077,0.180067486469635,18.2974353866286,8.67368683175909e-75,1.46398954905e-73
"FAM106A",1.05022508088965,3.93640882111733,0.392744589152509,10.0228212681722,1.20998737557058e-23,6.40870475483113e-23
"FAM126B",25.5202956875656,2.86106877279282,0.0900558978521433,31.7699211382049,1.68549847840227e-221,1.52354847400157e-219
"FAM135A",26.5546903579892,2.94963160715962,0.104354920908415,28.2653810810541,9.21115854670797e-176,5.57312233844166e-174
"FAM160A1",6.39537472263164,3.63663117214993,0.197316519709456,18.4304445340146,7.48653733275783e-76,1.28383420203464e-74
"FAM169A",1.47898564900264,2.9426694818296,0.318325002989536,9.24422980976562,2.36940929509057e-20,1.06990630372657e-19
"FAM171B",6.71659849938709,2.36605219078817,0.159550397235178,14.8294973361965,9.44374626957977e-50,1.02460891377472e-48
"FAM19A2",1.60650882479392,2.13851210007232,0.29084503921516,7.35275425650393,1.94163716588231e-13,6.02445526758975e-13
"FAM208B",70.9412481513633,2.22903194644999,0.081819606578905,27.2432493830237,1.99793015926336e-163,1.05189270314901e-161
"FANCB",0.97577682430328,3.39461148501496,0.363184901294526,9.34678581878075,9.03516667640104e-21,4.17018381972924e-20
"FANCM",7.88619605023571,2.5308660234461,0.138345418233687,18.2938188756716,9.26882652836171e-75,1.55917872262407e-73
"FAT1",190.823358679737,2.70095848475634,0.14618766714839,18.4759667996802,3.22399744195068e-76,5.56046915131838e-75
"FAT3",22.431266865449,3.97988828884224,0.250779775196302,15.8700528610288,1.02154814157722e-56,1.27206056965694e-55
"FAT4",114.546317986866,3.02282358783234,0.113911514040432,26.5365938930407,3.66764803484713e-155,1.73605863605304e-153
"FBXL13",1.83803233028196,2.7510427592957,0.300460121623383,9.15609946648441,5.38070604741268e-20,2.3872605764533e-19
"FBXL4",28.7607294147019,2.22775347567413,0.0866518640508826,25.7092389191533,9.21462269687393e-146,3.84070593240537e-144
"FCHO2",46.0535101135971,2.21910262181508,0.110942450770832,20.0022859274937,5.26052166588134e-89,1.09327046532617e-87
"FER",45.9024744319118,2.38423027107421,0.0672177422569821,35.4702522134556,1.41372143993895e-275,1.84459914837252e-273
"FGD4",50.2624442396803,2.51069688946228,0.0750045813282218,33.4739137930177,1.15540069170294e-245,1.22955938858174e-243
"FGD6",43.2788456857918,2.16782552976522,0.106586157587716,20.338715446996,5.84411379098918e-92,1.27643271373788e-90
"FGF17",1.19417537522971,-2.32687871616203,0.523042498031688,-4.44873738734142,8.6376548084262e-06,1.61525436690472e-05
"FILIP1",34.7385516387943,2.19467627705409,0.104107226887994,21.0809214946747,1.1904318176895e-98,2.82633376968844e-97
"FMN1",37.3558567758735,2.92360673842536,0.126846055539426,23.0484639509871,1.52401227253459e-117,4.48388316654539e-116
